Source: ACS 1-Year Estimates Public Use Microdata Sample 2010
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4785298"
"Alaska","713985"
"Arizona","6413737"
"Arkansas","2921606"
"California","37349363"
"Colorado","5049071"
"Connecticut","3577073"
"Delaware","899769"
"District of Columbia","604453"
"Florida","18843326"
"Georgia","9712587"
"Hawaii","1363621"
"Idaho","1571450"
"Illinois","12843166"
"Indiana","6490621"
"Iowa","3049883"
"Kansas","2859169"
"Kentucky","4346266"
"Louisiana","4544228"
"Maine","1327567"
"Maryland","5785982"
"Massachusetts","6557254"
"Michigan","9877574"
"Minnesota","5310584"
"Mississippi","2970036"
"Missouri","5996231"
"Montana","990898"
"Nebraska","1830429"
"Nevada","2704642"
"New Hampshire","1316759"
"New Jersey","8801624"
"New Mexico","2065932"
"New York","19392283"
"North Carolina","9561558"
"North Dakota","674499"
"Ohio","11536182"
"Oklahoma","3761702"
"Oregon","3838957"
"Pennsylvania","12709630"
"Rhode Island","1052886"
"South Carolina","4636312"
"South Dakota","816463"
"Tennessee","6356897"
"Texas","25257114"
"Utah","2776469"
"Vermont","625960"
"Virginia","8024617"
"Washington","6744496"
"West Virginia","1853973"
"Wisconsin","5691047"
"Wyoming","564460"
