Source: ACS 1-Year Estimates Public Use Microdata Sample 2006
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4599030"
"Alaska","670053"
"Arizona","6166318"
"Arkansas","2810872"
"California","36457549"
"Colorado","4753377"
"Connecticut","3504809"
"Delaware","853476"
"District of Columbia","581530"
"Florida","18089889"
"Georgia","9363941"
"Hawaii","1285498"
"Idaho","1466465"
"Illinois","12831970"
"Indiana","6313520"
"Iowa","2982085"
"Kansas","2764075"
"Kentucky","4206074"
"Louisiana","4287768"
"Maine","1321574"
"Maryland","5615727"
"Massachusetts","6437193"
"Michigan","10095643"
"Minnesota","5167101"
"Mississippi","2910540"
"Missouri","5842713"
"Montana","944632"
"Nebraska","1768331"
"Nevada","2495529"
"New Hampshire","1314895"
"New Jersey","8724560"
"New Mexico","1954599"
"New York","19306183"
"North Carolina","8856505"
"North Dakota","635867"
"Ohio","11478006"
"Oklahoma","3579212"
"Oregon","3700758"
"Pennsylvania","12440621"
"Rhode Island","1067610"
"South Carolina","4321249"
"South Dakota","781919"
"Tennessee","6038803"
"Texas","23507783"
"Utah","2550063"
"Vermont","623908"
"Virginia","7642884"
"Washington","6395798"
"West Virginia","1818470"
"Wisconsin","5556506"
"Wyoming","515004"
