Source: ACS 1-Year Estimates Public Use Microdata Sample 2004
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4414559"
"Alaska","635963"
"Arizona","5638345"
"Arkansas","2668372"
"California","35057375"
"Colorado","4498611"
"Connecticut","3389483"
"Delaware","805421"
"District of Columbia","518074"
"Florida","16957665"
"Georgia","8580307"
"Hawaii","1227008"
"Idaho","1360152"
"Illinois","12368348"
"Indiana","6058172"
"Iowa","2849976"
"Kansas","2653454"
"Kentucky","4031134"
"Louisiana","4383224"
"Maine","1278725"
"Maryland","5424648"
"Massachusetts","6193986"
"Michigan","9858908"
"Minnesota","4958748"
"Mississippi","2807064"
"Missouri","5587906"
"Montana","903109"
"Nebraska","1708711"
"Nevada","2301197"
"New Hampshire","1261970"
"New Jersey","8503294"
"New Mexico","1855776"
"New York","18661943"
"North Carolina","8270028"
"North Dakota","609691"
"Ohio","11172251"
"Oklahoma","3412202"
"Oregon","3506284"
"Pennsylvania","11971696"
"Rhode Island","1037002"
"South Carolina","4059838"
"South Dakota","741480"
"Tennessee","5743167"
"Texas","21890579"
"Utah","2349472"
"Vermont","600632"
"Virginia","7219758"
"Washington","6071325"
"West Virginia","1771784"
"Wisconsin","5353642"
"Wyoming","492534"
