Source: ACS 1-Year Estimates Public Use Microdata Sample 2005
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4448075"
"Alaska","658002"
"Arizona","5806266"
"Arkansas","2694665"
"California","35340566"
"Colorado","4540639"
"Connecticut","3365768"
"Delaware","825598"
"District of Columbia","508572"
"Florida","17363653"
"Georgia","8811648"
"Hawaii","1258528"
"Idaho","1408650"
"Illinois","12441864"
"Indiana","6081212"
"Iowa","2848266"
"Kansas","2669699"
"Kentucky","4065635"
"Louisiana","4387181"
"Maine","1282474"
"Maryland","5453441"
"Massachusetts","6200944"
"Michigan","9857477"
"Minnesota","4969152"
"Mississippi","2830388"
"Missouri","5632603"
"Montana","897367"
"Nebraska","1706343"
"Nevada","2376017"
"New Hampshire","1271897"
"New Jersey","8524868"
"New Mexico","1886789"
"New York","18679211"
"North Carolina","8397785"
"North Dakota","621063"
"Ohio","11146050"
"Oklahoma","3429974"
"Oregon","3560922"
"Pennsylvania","11948862"
"Rhode Island","1033284"
"South Carolina","4127391"
"South Dakota","755152"
"Tennessee","5816359"
"Texas","22250152"
"Utah","2452149"
"Vermont","609857"
"Virginia","7320848"
"Washington","6157786"
"West Virginia","1781817"
"Wisconsin","5401740"
"Wyoming","494170"
