Source: ACS 1-Year Estimates Public Use Microdata Sample 2008
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"Selected Geographies",""
"Alabama","4661900"
"Alaska","686293"
"Arizona","6500180"
"Arkansas","2855390"
"California","36756666"
"Colorado","4939456"
"Connecticut","3501252"
"Delaware","873092"
"District of Columbia","591833"
"Florida","18328340"
"Georgia","9685744"
"Hawaii","1288198"
"Idaho","1523816"
"Illinois","12901564"
"Indiana","6376792"
"Iowa","3002557"
"Kansas","2802134"
"Kentucky","4269245"
"Louisiana","4410796"
"Maine","1316456"
"Maryland","5633597"
"Massachusetts","6497967"
"Michigan","10003422"
"Minnesota","5220393"
"Mississippi","2938618"
"Missouri","5911605"
"Montana","967440"
"Nebraska","1783432"
"Nevada","2600167"
"New Hampshire","1315809"
"New Jersey","8682661"
"New Mexico","1984356"
"New York","19490297"
"North Carolina","9222414"
"North Dakota","641481"
"Ohio","11485910"
"Oklahoma","3642361"
"Oregon","3790060"
"Pennsylvania","12448279"
"Rhode Island","1050788"
"South Carolina","4479800"
"South Dakota","804194"
"Tennessee","6214888"
"Texas","24326974"
"Utah","2736424"
"Vermont","621270"
"Virginia","7769089"
"Washington","6549224"
"West Virginia","1814468"
"Wisconsin","5627968"
"Wyoming","532668"
